year_group,category_prop,x_coord,x_end_coord,y_coord,y_end_coord
"1970 -
'74",0.23809523809523808,0.5,1.5,0.23809523809523808,0.3333333333333333
"1975 -
'79",0.3333333333333333,1.5,2.5,0.3333333333333333,0.3793103448275862
"1980 -
'84",0.3793103448275862,2.5,3.5,0.3793103448275862,0.4477611940298507
"1985 -
'89",0.4477611940298507,3.5,4.5,0.4477611940298507,0.42222222222222217
"1990 -
'94",0.42222222222222217,4.5,5.5,0.42222222222222217,0.5384615384615385
"1995 -
'99",0.5384615384615385,5.5,6.5,0.5384615384615385,0.5596590909090909
"2000 -
'04",0.5596590909090909,6.5,7.5,0.5596590909090909,0.5512295081967213
"2005 -
'09",0.5512295081967213,7.5,8.5,0.5512295081967213,0.547945205479452
"2010 -
'13",0.547945205479452,8.5,9.5,0.547945205479452,NA
